year,month,region,temp_anomaly,co2,ch4,n2o,tsi,owid_co2,owid_co2_luc,owid_primary_energy,aerosol_optical_depth,decimal_year,time_since_baseline,co2_growth,co2_ma12,ch4_growth,ch4_ma12,n2o_growth,n2o_ma12,temp_ma12,aerosol_log,aerosol_ma12,tsi_anomaly,month_sin,month_cos
2003,12,Southern_Hemisphere,0.6066666666666667,376.52,1783.56,318.11,1361.5897979736328,27652.691,34973.902,117849.602,0.0,2003.9166666666667,24.916666666666742,2.259999999999991,375.1408333333334,3.9199999999998454,1777.3525,0.8700000000000045,317.6333333333333,0.48000000000000004,0.0,0.0,-0.032515843709234105,-2.4492935982947064e-16,1.0
2004,1,Southern_Hemisphere,0.44333333333333325,377.21,1780.74,318.18,1361.5714569091797,28610.023,35053.887,123841.742,0.0,2004.0,25.0,2.269999999999982,375.33,3.2000000000000455,1777.6191666666666,0.8899999999999864,317.7075,0.46638888888888896,0.0,0.0,-0.050856908162359105,0.49999999999999994,0.8660254037844387
2004,2,Southern_Hemisphere,0.5933333333333333,377.72,1779.68,318.2,1361.5531158447266,28610.023,35053.887,123841.742,0.0,2004.0833333333333,25.083333333333258,2.25,375.5175,4.850000000000136,1778.0233333333333,0.8600000000000136,317.7791666666667,0.4786111111111111,0.0,0.0,-0.0691979726154841,0.8660254037844386,0.5000000000000001
2004,3,Southern_Hemisphere,0.5033333333333333,378.15,1780.93,318.16,1361.5347747802734,28610.023,35053.887,123841.742,0.0,2004.1666666666667,25.166666666666742,2.2399999999999523,375.70416666666665,6.0900000000001455,1778.5308333333332,0.75,317.84166666666664,0.48166666666666663,0.0,0.0,-0.0875390370686091,1.0,6.123233995736766e-17
2004,4,Southern_Hemisphere,0.4733333333333333,378.48,1780.88,318.14,1361.5164337158203,28610.023,35053.887,123841.742,0.0,2004.25,25.25,2.090000000000032,375.8783333333333,5.080000000000155,1778.9541666666667,0.6599999999999682,317.89666666666665,0.4863888888888889,0.0,0.0,-0.1058801015217341,0.8660254037844387,-0.4999999999999998
2004,5,Southern_Hemisphere,0.23333333333333328,378.41,1777.74,318.14,1361.4980926513672,28610.023,35053.887,123841.742,0.0,2004.3333333333333,25.333333333333258,1.8700000000000045,376.03416666666664,3.2899999999999636,1779.2283333333335,0.6299999999999955,317.94916666666666,0.46694444444444444,0.0,0.0,-0.1242211659748591,0.49999999999999994,-0.8660254037844387
2004,6,Southern_Hemisphere,0.3033333333333333,377.51,1772.43,318.13,1361.479751586914,28610.023,35053.887,123841.742,0.0,2004.4166666666667,25.416666666666742,1.8000000000000114,376.18416666666667,0.75,1779.2908333333332,0.6000000000000227,317.99916666666667,0.46416666666666667,0.0,0.0,-0.1425622304279841,1.2246467991473532e-16,-1.0
2004,7,Southern_Hemisphere,0.1233333333333333,375.94,1768.17,318.14,1361.461908976237,28610.023,35053.887,123841.742,0.0,2004.5,25.5,1.7699999999999818,376.3316666666667,-2.5399999999999636,1779.0791666666667,0.5799999999999841,318.04749999999996,0.4372222222222222,0.0,0.0,-0.16040484110499165,-0.4999999999999997,-0.8660254037844388
2004,8,Southern_Hemisphere,0.3133333333333333,374.47,1769.97,318.17,1361.444564819336,28610.023,35053.887,123841.742,0.0,2004.5833333333333,25.583333333333258,1.5300000000000296,376.4591666666667,-4.329999999999927,1778.7183333333335,0.5400000000000205,318.0925,0.42111111111111116,0.0,0.0,-0.1777489980061091,-0.8660254037844385,-0.5000000000000004
2004,9,Southern_Hemisphere,0.3733333333333333,374.38,1775.87,318.22,1361.4272206624348,28610.023,35053.887,123841.742,0.0,2004.6666666666667,25.666666666666742,1.2900000000000205,376.5666666666666,-4.680000000000064,1778.3283333333331,0.4500000000000455,318.13000000000005,0.4116666666666666,0.0,0.0,-0.19509315490722656,-1.0,-1.8369701987210297e-16
2004,10,Southern_Hemisphere,0.4733333333333333,375.72,1780.08,318.34,1361.409876505534,28610.023,35053.887,123841.742,0.0,2004.75,25.75,1.3600000000000136,376.68,-4.610000000000127,1777.9441666666664,0.40999999999996817,318.16416666666663,0.4022222222222222,0.0,0.0,-0.21243731180811665,-0.8660254037844386,0.5000000000000001
2004,11,Southern_Hemisphere,0.5933333333333333,377.2,1780.53,318.56,1361.3925323486328,28610.023,35053.887,123841.742,0.0,2004.8333333333333,25.833333333333258,1.5500000000000114,376.80916666666667,-4.75,1777.5483333333334,0.5199999999999818,318.2075,0.41944444444444445,0.0,0.0,-0.2297814687092341,-0.5000000000000004,0.8660254037844384
2004,12,Southern_Hemisphere,0.3733333333333333,378.17,1778.17,318.77,1361.3751881917317,28610.023,35053.887,123841.742,0.0,2004.9166666666667,25.916666666666742,1.650000000000034,376.94666666666666,-5.389999999999873,1777.0991666666666,0.6599999999999682,318.2625,0.3999999999999999,0.0,0.0,-0.24712562561035156,-2.4492935982947064e-16,1.0
2005,1,Southern_Hemisphere,0.5658333333333333,378.73,1776.13,318.87,1361.3578440348308,29598.951,35530.062,127936.719,0.0,2005.0,26.0,1.5200000000000387,377.0733333333333,-4.6099999999999,1776.7150000000001,0.6899999999999977,318.32,0.4102083333333333,0.0,0.0,-0.26446978251124165,0.49999999999999994,0.8660254037844387
2005,2,Southern_Hemisphere,0.40583333333333327,379.26,1775.76,318.89,1361.3404998779297,29598.951,35530.062,127936.719,0.0,2005.0833333333333,26.083333333333258,1.5399999999999636,377.20166666666665,-3.9200000000000728,1776.3883333333333,0.6899999999999977,318.3775,0.3945833333333333,0.0,0.0,-0.2818139394123591,0.8660254037844386,0.5000000000000001
2005,3,Southern_Hemisphere,0.5558333333333333,379.86,1775.58,318.86,1361.3231557210286,29598.951,35530.062,127936.719,0.0,2005.1666666666667,26.166666666666742,1.7100000000000364,377.3441666666667,-5.350000000000136,1775.9425,0.6999999999999886,318.43583333333333,0.39895833333333325,0.0,0.0,-0.29915809631347656,1.0,6.123233995736766e-17
2005,4,Southern_Hemisphere,0.47583333333333333,380.32,1774.79,318.78,1361.3058115641277,29598.951,35530.062,127936.719,0.0,2005.25,26.25,1.839999999999975,377.49749999999995,-6.0900000000001455,1775.4350000000002,0.6399999999999864,318.4891666666667,0.3991666666666666,0.0,0.0,-0.31650225321436665,0.8660254037844387,-0.4999999999999998
2005,5,Southern_Hemisphere,0.4358333333333333,380.42,1772.51,318.66,1361.2884674072266,29598.951,35530.062,127936.719,0.0,2005.3333333333333,26.333333333333258,2.009999999999991,377.66499999999996,-5.230000000000018,1774.9991666666665,0.5200000000000387,318.5325,0.41604166666666664,0.0,0.0,-0.3338464101154841,0.49999999999999994,-0.8660254037844387
2005,6,Southern_Hemisphere,0.4558333333333333,379.6,1768.81,318.59,1361.2711232503254,29598.951,35530.062,127936.719,0.0,2005.4166666666667,26.416666666666742,2.090000000000032,377.8391666666667,-3.6200000000001182,1774.6975,0.45999999999997954,318.5708333333333,0.42874999999999996,0.0,0.0,-0.35119056701660156,1.2246467991473532e-16,-1.0
2005,7,Southern_Hemisphere,0.4258333333333333,377.94,1766.41,318.65,1361.2613423665364,29598.951,35530.062,127936.719,0.0,2005.5,26.5,2.0,378.0058333333333,-1.759999999999991,1774.5508333333335,0.5099999999999909,318.61333333333334,0.4539583333333333,0.0,0.0,-0.36097145080566406,-0.4999999999999997,-0.8660254037844388
2005,8,Southern_Hemisphere,0.4158333333333333,376.73,1768.16,318.77,1361.2591247558594,29598.951,35530.062,127936.719,0.0,2005.5833333333333,26.583333333333258,2.259999999999991,378.19416666666666,-1.8099999999999454,1774.3999999999999,0.5999999999999659,318.66333333333336,0.4624999999999999,0.0,0.0,-0.3631890614826716,-0.8660254037844385,-0.5000000000000004
2005,9,Southern_Hemisphere,0.5258333333333333,376.76,1773.24,318.9,1361.2569071451824,29598.951,35530.062,127936.719,0.0,2005.6666666666667,26.666666666666742,2.3799999999999955,378.3925000000001,-2.6299999999998818,1774.180833333333,0.67999999999995,318.71999999999997,0.4752083333333333,0.0,0.0,-0.36540667215967915,-1.0,-1.8369701987210297e-16
2005,10,Southern_Hemisphere,0.5758333333333333,378.07,1778.59,319.11,1361.2546895345051,29598.951,35530.062,127936.719,0.0,2005.75,26.75,2.349999999999966,378.58833333333337,-1.490000000000009,1774.0566666666666,0.7700000000000387,318.78416666666664,0.4837499999999999,0.0,0.0,-0.36762428283691406,-0.8660254037844386,0.5000000000000001
2005,11,Southern_Hemisphere,0.5558333333333333,379.53,1781.25,319.36,1361.2524719238281,29598.951,35530.062,127936.719,0.0,2005.8333333333333,26.833333333333258,2.329999999999984,378.7825,0.7200000000000273,1774.1166666666666,0.8000000000000114,318.8508333333333,0.4806249999999999,0.0,0.0,-0.3698418935139216,-0.5000000000000004,0.8660254037844384
